,gene_Her2_x,score_Her2_x,gene_Her2_y,score_Her2_y
46,NME3,0.8176040866241389,NME3,0.8176040866241389
47,WDR62,0.8169032553350687,WDR62,0.8169032553350687
48,VARS1,0.8168193625986648,VARS1,0.8168193625986648
49,MAPK1IP1L,0.8162869053514512,MAPK1IP1L,0.8162869053514512
50,TRAF5,0.8161700868934003,TRAF5,0.8161700868934003
51,BRD3,0.815983609871942,BRD3,0.815983609871942
52,GABPB1,0.8159484635476882,GABPB1,0.8159484635476882
53,PKD1P1,0.8155319188585752,PKD1P1,0.8155319188585752
54,HERC3,0.8153803443564736,HERC3,0.8153803443564736
55,WRNIP1,0.8147452285998478,WRNIP1,0.8147452285998478
56,DLGAP4,0.8146727577418592,DLGAP4,0.8146727577418592
57,AACS,0.8144162143469985,AACS,0.8144162143469985
58,KMT2B,0.8142796205553445,KMT2B,0.8142796205553445
59,CHAF1A,0.8142270734981665,CHAF1A,0.8142270734981665
60,ACP7,0.8141786735716859,ACP7,0.8141786735716859
61,SPATA33,0.8137672975401901,SPATA33,0.8137672975401901
62,C9orf102,0.8134926130648676,C9orf102,0.8134926130648676
63,HCFC1R1,0.8133260705126972,HCFC1R1,0.8133260705126972
64,XRCC1,0.8132348942015386,XRCC1,0.8132348942015386
65,TAPT1-AS1,0.8129720179753072,TAPT1-AS1,0.8129720179753072
66,YAF2,0.8113482999616759,YAF2,0.8113482999616759
67,SLC4A3,0.8112708470704674,SLC4A3,0.8112708470704674
68,LMAN1,0.8109877825958984,LMAN1,0.8109877825958984
69,RAE1,0.8108866817798694,RAE1,0.8108866817798694
70,PEX14,0.8108166513179966,PEX14,0.8108166513179966
71,FLNB,0.8106363316081051,FLNB,0.8106363316081051
72,HSPA12B,0.8101728817516448,HSPA12B,0.8101728817516448
73,LOC729852,0.8101524217806156,LOC729852,0.8101524217806156
74,KDM1A,0.8099470401269204,KDM1A,0.8099470401269204
75,RPUSD1,0.8099456139179284,RPUSD1,0.8099456139179284
76,LDLRAP1,0.8098602102115608,LDLRAP1,0.8098602102115608
77,ACTN4,0.8096815646994944,ACTN4,0.8096815646994944
78,FAM210A,0.8092367383444974,FAM210A,0.8092367383444974
79,PRRC2A,0.8091022847271219,PRRC2A,0.8091022847271219
80,CDKN2D,0.8090051176323432,CDKN2D,0.8090051176323432
81,DHX9,0.8089581910692424,DHX9,0.8089581910692424
82,ANKRD39,0.8089524474271559,ANKRD39,0.8089524474271559
83,RAB1A,0.8088167703670731,RAB1A,0.8088167703670731
84,TRAM1,0.8084688018416023,TRAM1,0.8084688018416023
85,DCUN1D4,0.8082243288560683,DCUN1D4,0.8082243288560683
86,CDCA4,0.808209065292004,CDCA4,0.808209065292004
87,NOTCH3,0.8081538907314676,NOTCH3,0.8081538907314676
88,NOP2,0.8081306737365276,NOP2,0.8081306737365276
89,KIF20A,0.8080237636323869,KIF20A,0.8080237636323869
90,TMEM9B,0.8078509386665043,TMEM9B,0.8078509386665043
91,HPGD,0.8078234227668553,HPGD,0.8078234227668553
92,PROS1,0.8074923157705891,PROS1,0.8074923157705891
93,PPM1F,0.8072721317327818,PPM1F,0.8072721317327818
94,TRMT1,0.8064282069954134,TRMT1,0.8064282069954134
95,TTC39C,0.8064175070436498,TTC39C,0.8064175070436498
96,UGT2B10,0.8064106115384534,UGT2B10,0.8064106115384534
97,COLQ,0.8060379334290244,COLQ,0.8060379334290244
98,GPR89B,0.8058118316009676,GPR89B,0.8058118316009676
99,KIFC2,0.8057388594635136,KIFC2,0.8057388594635136
100,E2F2,0.8057298493655362,E2F2,0.8057298493655362
101,TMEM222,0.80549301638804,TMEM222,0.80549301638804
102,ACYP2,0.8052527506492279,ACYP2,0.8052527506492279
103,PA2G4,0.8051549766662781,PA2G4,0.8051549766662781
104,SCP2,0.8036938133543989,SCP2,0.8036938133543989
105,LSM12,0.8034030113562259,LSM12,0.8034030113562259
106,TMEM59,0.8031869379355708,TMEM59,0.8031869379355708
107,HIATL1,0.803121606188353,HIATL1,0.803121606188353
108,NPAS1,0.8031050554386956,NPAS1,0.8031050554386956
109,SH3D19,0.8030983046714787,SH3D19,0.8030983046714787
110,TBCB,0.802734892072044,TBCB,0.802734892072044
111,COQ8A,0.8023156548367254,COQ8A,0.8023156548367254
112,TUBB4B,0.8022781021143862,TUBB4B,0.8022781021143862
113,TUBB,0.8020441623568618,TUBB,0.8020441623568618
114,LOC645676,0.8019340463082066,LOC645676,0.8019340463082066
115,BAIAP3,0.8018801917567324,BAIAP3,0.8018801917567324
116,NAAA,0.8012553782022078,NAAA,0.8012553782022078
117,DYRK1A,0.8011786558607494,DYRK1A,0.8011786558607494
118,ACBD4,0.801051408219786,ACBD4,0.801051408219786
